,Statement
0,each podling in incubation must report to the incubator pmc.
1,"podlings shall report monthly for their first three months, after that quarterly."
2,"the incubator pmc may, at their discretion, ask a podlings to report more frequently."
3,"the ppmc with the mentor(s) help, must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered."
4,there are restrictions on where podlings can host their websites and what branding they can use on them.
5,there are restrictions about how podlings can use their own and other asf brands and names.
6,"there are some restrictions about how podlings can advertise themselves, especially in press releases related to podlings."
7,"podling web sites must include a clear disclaimer on their website and in all documentation, releases and release announcements stating that they are in incubation."
8,a podling has a choice of two disclaimers: a standard disclaimer or a work-in-progress disclaimer.
9,podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use.
10,podlings wanting to follow all asf policy on releases should use the following text for all disclaimers (replace the underlined text as appropriate):
11,"apache podling-name is an effort undergoing incubation at the apache software foundation (asf), sponsored by the name of apache tlp sponsor ."
12,"incubation is required of all newly accepted projects until a further review indicates that the infrastructure, communications, and decision making process have stabilized in a manner consistent with other successful asf projects."
13,"while incubation status is not necessarily a reflection of the completeness or stability of the code, it does indicate that the project has yet to be fully endorsed by the asf."
14,"for releases, the text should be included in a separate disclaimer file stored alongside the notice and license files."
15,podling wishing to make releases that may not follow all asf policy should use the following disclaimer (replace the underlined text where needed):
16,"apache podling-name is an effort undergoing incubation at the apache software foundation (asf), sponsored by the name of apache tlp sponsor ."
17,"incubation is required of all newly accepted projects until a further review indicates that the infrastructure, communications, and decision-making process have stabilized in a manner consistent with other successful asf projects."
18,"while incubation status is not necessarily a reflection of the completeness or stability of the code, it does indicate that the project has yet to be fully endorsed by the asf."
19,some of the incubating project's releases may not be fully compliant with asf policy.
20,"for example, releases may have incomplete or un-reviewed licensing conditions."
21,what follows is a list of issues the project is currently aware of (this list is likely to be incomplete):
22,list of known issues goes here
23,"if you are planning to incorporate this work into your product/project, please be aware that you will need to conduct a thorough licensing review to determine the overall implications of including this work."
24,"for the current status of this project through the apache incubator, visit: https://incubator.apache.org/projects/ apache podling-name .html"
25,"for releases, the text should be included in a separate disclaimer-wip file stored alongside the notice and license files."
26,the podling can make non-asf releases while incubating as long as it is moving towards making asf releases.
27,podlings must not perform any asf releases of software without the approval of the incubator pmc.
28,"when a podling decides it wants to make an asf release, the podling must hold a vote on their public dev list."
29,at least three +1 votes are required (see the apache voting process page) and more +1 votes than -1 votes.
30,"if the vote passes, the podling must send a summary of that vote to the incubator's general list and request that the incubator pmc approve the release."
31,three +1 incubator pmc votes are required to approve a release.
32,"should the incubator pmc vote to approve a release, the podling may make that release available to the public under these conditions:"
33,"the release archive(s) must include the word ""incubating"" in the filename."
34,"the release archive(s) must contain a disclaimer (see above), which should be placed in a disclaimer or disclaimer-wip file."
35,releases for the podling must be distributed through http://www.apache.org/dist/incubator/ podling. 
36,the podling may choose to distribute approved releases through other channels by following the guidelines here .
37,"after voting someone into the ppmc on the ppmc private list, the podling must send a notice email to the private@incubator list."
38,the ppmc must wait for 72 hours before inviting the new ppmc member to join the ppmc.
39,"as with all pmcs, new the ipmc votes on proposed members on the private@incubator list."
40,"after a vote has finished, the ipmc must send a notice email to the board"
41,and then wait for 72 hours before inviting the proposed member.
42,"any asf member can ask to be an ipmc member, without a vote, but the ipmc must still give notice to the board."
43,the incubator pmc should notify a podling of any policy violations.
44,it may consider termination of a podling that does not correct such violations.
45,a major criterion for podling graduation to top level project (tlp) status is to have developed an open and diverse meritocratic community.
46,"as a project grows, it needs to renew itself by accepting new committers."
47,a project needs to learn how it can recruit new developers and committers into the community.
48,the openness of the community is not only measured by the number of contributors.
49,open and respectful discussions on the mailing lists are vital.
50,community members must learn ways to resolve technical conflicts without destroying personal relationships.
51,email lists are the lifeblood of apache communities. they are the primary mode of discourse and constitute a public and historical record of the project.
52,"other forms of communication (p2p, f2f, personal emails, instant messaging platform posts, and so on) are secondary."
53,"if a project uses alternative forms of communication, it is essential to try to minimize the chances of problems arising."
54,all matters of substance need to move back to the email lists.
55,"projects need to preserve, and post back to the lists, significatn conversation threads in other channels."
56,project should post regular reminders that other secondary forms of communication exist.
57,"there is a limited number of topics, such as security issues and discussions about people, which it is best to handl in private."
58,"as much business of the project as possible should take place on public lists, but the private list is available for matters of a sensitive nature."
59,good netiquette requires that you seek permission from the poster before making public posts made to a private list.
60,"before a podling graduates, it must create a diverse and self-sustaining community."
61,"to address this challenge, committers may need to devote more time to community-building and less to development."
62,"if the podling's software has lots of users but very few new developers, the community needs to do more work to encourage users to become developers."
63,"however, once a project gains momentum, it may be more productive for the long-term health of a project to encourage users to propose solutions to non-critical problems and, thus, become more involved."
64,try to encourage expert users to answer questions.
65,try to encourage users to become developers.
66,"when they give a good answer that the documentation doesn't cover, ask them to submit a patch."
67,"when users suggest a good design or extension, ask for volunteers to help implement it rather than just coding it up."
68,"to become an apache committer, a developer needs to hang around long enough to accumulate a track record of contributions."
69,it may also be that the committer bar is set too high.
70,promptly reviewing patches or pull requests is essential.
71,provide credit in the commit message and when closing the issue.
72,it's also good to encourage developers by suggesting new related work they may like to volunteer to work on.
73,each podling project management committee (ppmc) helps its podling learn how to govern itself.
74,"initially, it is composed of the podling's mentors and the initial committers."
75,"the ppmc is directly responsible for the oversight of the podling, and it also decides who to add as a ppmc member."
76,a private email list named private@ project lets the ppmc discuss confidential topics.
77,most communication should be on the podling's dev list!
78,"the private list is only for confidential discussions that should not be made public, such as the suitability of a particular individual to become a committer or a member of the ppmc."
79,the mentors should verify that all ppmc members are subscribed to the private list.
80,"each member of the ppmc should be on the dev list, so posting to dev is sufficient."
81,"each member of the incubator pmc is on the incubator general list, so posting to the general list is sufficient."
82,"on a monthly basis, the ipmc collects reports from each incubating project and sends them to the asf board."
83,watch the incubator general email list for when these become due.
84,the incubator report includes the status of a subset of the incubating projects.
85,"currently, new podlings report to the incubator monthly for the first three months, then quarterly after that."
86,the ppmc does not have to fill out the report itself; the ppmc is just responsible for making sure that it gets filled out.
87,it is better to discuss the report on the dev list and ask everyone to contribute to it.
88,"if mentors disagree with the posted report, they should say so; otherwise, the incubator pmc assumes that the report speaks for the community."
89,mentors must sign off on podling reports.
