id,sid,tid,word,pos,relation,word_source,document,section,class,category,subcategory,CodeType
doc1,1,0,ROOT,,NA,NA,NA,NA,NA,NA,NA,1
doc1,1,1,each,DT,det,podling,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,2,podling,NN,nsubj,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,3,in,IN,case,incubation,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,4,incubation,NN,nmod,podling,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,5,must,MD,aux,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,6,report,VB,root,ROOT,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,7,to,IN,case,pmc,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,8,the,DT,det,pmc,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,9,incubator,NN,compound,pmc,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,10,pmc,NN,obl,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,11,.,.,punct,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,0,ROOT,,NA,NA,NA,NA,NA,NA,NA,1
doc1,1,1,podlings,NNS,nsubj,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,2,shall,MD,aux,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,3,report,VB,root,ROOT,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,4,monthly,RB,advmod,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,5,for,IN,case,months,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,6,their,PRP$,nmod:poss,months,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,7,first,JJ,amod,months,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,8,three,CD,nummod,months,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,9,months,NNS,obl,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,10,",",",",punct,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,11,after,IN,case,quarterly,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,12,that,DT,det,quarterly,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,13,quarterly,NN,obl,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,14,.,.,punct,report,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,0,ROOT,,NA,NA,NA,NA,NA,NA,NA,1
doc1,1,1,the,DT,det,pmc,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,2,incubator,NN,compound,pmc,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,3,pmc,NN,nsubj,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,4,may,MD,aux,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,5,",",",",punct,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,6,at,IN,case,discretion,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,7,their,PRP$,nmod:poss,discretion,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,8,discretion,NN,obl,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,9,",",",",punct,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,10,ask,VB,root,ROOT,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,11,a,DT,det,podlings,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,12,podlings,NNS,obj,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,13,to,TO,mark,report,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,14,report,VB,xcomp,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,15,more,RBR,advmod,frequently,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,16,frequently,RB,advmod,report,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,17,.,.,punct,ask,Incubator Policy,podling reporting,choice,project,risk mitigation,1
doc1,1,0,ROOT,,NA,NA,NA,NA,NA,NA,NA,1
doc1,1,1,the,DT,det,ppmc,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,2,ppmc,NN,nsubj,produce,Incubator Policy,podling reporting,information,project,risk mitigation,1
doc1,1,3,with,IN,case,help,Incubator Policy,podling reporting,information,project,risk mitigation,1
