"new_word","sid","sid_text","tid","CodeType","Code"
"each",0,"ROOT each podling in incubation must report to the incubator pmc .",1,"",""
"podling",0,"ROOT each podling in incubation must report to the incubator pmc .",2,"",""
"in",0,"ROOT each podling in incubation must report to the incubator pmc .",3,"",""
"incubation",0,"ROOT each podling in incubation must report to the incubator pmc .",4,"",""
"must",0,"ROOT each podling in incubation must report to the incubator pmc .",5,"",""
"report",0,"ROOT each podling in incubation must report to the incubator pmc .",6,"",""
"to",0,"ROOT each podling in incubation must report to the incubator pmc .",7,"",""
"the",0,"ROOT each podling in incubation must report to the incubator pmc .",8,"",""
"incubator",0,"ROOT each podling in incubation must report to the incubator pmc .",9,"",""
"pmc",0,"ROOT each podling in incubation must report to the incubator pmc .",10,"",""
"podlings",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",1,"",""
"shall",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",2,"",""
"report",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",3,"",""
"monthly",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",4,"",""
"for",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",5,"",""
"their",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",6,"",""
"first",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",7,"",""
"three",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",8,"",""
"months",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",9,"",""
"after",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",11,"",""
"that",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",12,"",""
"quarterly",1,"ROOT podlings shall report monthly for their first three months , after that quarterly .",13,"",""
"the",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",1,"",""
"incubator",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",2,"",""
"pmc",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",3,"",""
"may",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",4,"",""
"at",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",6,"",""
"their",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",7,"",""
"discretion",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",8,"",""
"ask",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",10,"",""
"a",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",11,"",""
