policy.doc.name,section.name,policy.statement,ostrom.statement.class,rule.category,rule.subcategory,cost.incurred.by,benefit.accrued.to
Incubator Policy,podling reporting,each podling in incubation must report to the incubator pmc.,information,project,risk mitigation,podling,Apache
Incubator Policy,podling reporting,"podlings shall report monthly for their first three months, after that quarterly.",information,project,risk mitigation,podling,Apache
Incubator Policy,podling reporting,"the incubator pmc may, at their discretion, ask a podlings to report more frequently.",choice,project,risk mitigation,podling,Apache
Incubator Policy,podling reporting,"the ppmc with the mentor(s) help, must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered.",information,project,risk mitigation,podling,Apache
Incubator Policy,website,there are restrictions on where podlings can host their websites and what branding they can use on them.,choice,project,infrastructure,podling,Apache
Incubator Policy,branding,there are restrictions about how podlings can use their own and other asf brands and names.,choice,project,Apache protection,podling,Apache
Incubator Policy,publicity,"there are some restrictions about how podlings can advertise themselves, especially in press releases related to podlings.",choice,project,Apache protection,podling,Apache
Incubator Policy,disclaimers,"podling web sites must include a clear disclaimer on their website and in all documentation, releases and release announcements stating that they are in incubation.",information,project,Apache protection,podling,Apache
Incubator Policy,disclaimers,a podling has a choice of two disclaimers: a standard disclaimer or a work-in-progress disclaimer.,choice,project,risk mitigation,Apache,podling
Incubator Policy,disclaimers,podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use.,aggregation,project,Apache protection,Apache,podling
Incubator Policy,standard disclaimer,podlings wanting to follow all asf policy on releases should use the following text for all disclaimers (replace the underlined text as appropriate):,information,project,Apache protection,podling,Apache
Incubator Policy,standard disclaimer,"apache podling-name is an effort undergoing incubation at the apache software foundation (asf), sponsored by the name of apache tlp sponsor .",,,,,
Incubator Policy,standard disclaimer,"incubation is required of all newly accepted projects until a further review indicates that the infrastructure, communications, and decision making process have stabilized in a manner consistent with other successful asf projects.",,,,,
Incubator Policy,standard disclaimer,"while incubation status is not necessarily a reflection of the completeness or stability of the code, it does indicate that the project has yet to be fully endorsed by the asf.",,,,,
Incubator Policy,standard disclaimer,"for releases, the text should be included in a separate disclaimer file stored alongside the notice and license files.",,,,,
Incubator Policy,work in progress disclaimer,podling wishing to make releases that may not follow all asf policy should use the following disclaimer (replace the underlined text where needed):,information,project,Apache protection,Apache,podling
Incubator Policy,work in progress disclaimer,"apache podling-name is an effort undergoing incubation at the apache software foundation (asf), sponsored by the name of apache tlp sponsor .",,,,,
Incubator Policy,work in progress disclaimer,"incubation is required of all newly accepted projects until a further review indicates that the infrastructure, communications, and decision-making process have stabilized in a manner consistent with other successful asf projects.",,,,,
Incubator Policy,work in progress disclaimer,"while incubation status is not necessarily a reflection of the completeness or stability of the code, it does indicate that the project has yet to be fully endorsed by the asf.",,,,,
Incubator Policy,work in progress disclaimer,some of the incubating project's releases may not be fully compliant with asf policy.,,,,,
Incubator Policy,work in progress disclaimer,"for example, releases may have incomplete or un-reviewed licensing conditions.",,,,,
Incubator Policy,work in progress disclaimer,what follows is a list of issues the project is currently aware of (this list is likely to be incomplete):,,,,,
Incubator Policy,work in progress disclaimer,list of known issues goes here,,,,,
Incubator Policy,work in progress disclaimer,"if you are planning to incorporate this work into your product/project, please be aware that you will need to conduct a thorough licensing review to determine the overall implications of including this work.",,,,,
Incubator Policy,work in progress disclaimer,"for the current status of this project through the apache incubator, visit: https://incubator.apache.org/projects/ apache podling-name .html",,,,,
Incubator Policy,work in progress disclaimer,"for releases, the text should be included in a separate disclaimer-wip file stored alongside the notice and license files.",,,,,
Incubator Policy,releases,the podling can make non-asf releases while incubating as long as it is moving towards making asf releases.,choice,project,risk mitigation,Apache,podling
Incubator Policy,releases,podlings must not perform any asf releases of software without the approval of the incubator pmc.,aggregation,project,release management,podling,Apache
Incubator Policy,releases,"when a podling decides it wants to make an asf release, the podling must hold a vote on their public dev list.",aggregation,project,release management,podling,podling
Incubator Policy,releases,at least three +1 votes are required (see the apache voting process page) and more +1 votes than -1 votes.,aggregation,project,release management,podling,podling
Incubator Policy,releases,"if the vote passes, the podling must send a summary of that vote to the incubator's general list and request that the incubator pmc approve the release.",aggregation,project,release management,Apache,Apache
Incubator Policy,releases,three +1 incubator pmc votes are required to approve a release.,aggregation,project,release management,Apache,Apache
Incubator Policy,releases,"should the incubator pmc vote to approve a release, the podling may make that release available to the public under these conditions:",choice,project,release management,podling,Apache
Incubator Policy,releases,"the release archive(s) must include the word ""incubating"" in the filename.",,,,,
Incubator Policy,releases,"the release archive(s) must contain a disclaimer (see above), which should be placed in a disclaimer or disclaimer-wip file.",,,,,
Incubator Policy,releases,releases for the podling must be distributed through http://www.apache.org/dist/incubator/ podling. ,,,,,
Incubator Policy,releases,the podling may choose to distribute approved releases through other channels by following the guidelines here .,choice,project,release management,podling,podling
Incubator Policy,adding ppmc members,"after voting someone into the ppmc on the ppmc private list, the podling must send a notice email to the private@incubator list.",information,project,project governance,podling,Apache
Incubator Policy,adding ppmc members,the ppmc must wait for 72 hours before inviting the new ppmc member to join the ppmc.,choice,project,project governance,podling,Apache
Incubator Policy,joining the ipmc,"as with all pmcs, new the ipmc votes on proposed members on the private@incubator list.",aggregation,incubation,Apache governance,Apache,Apache
Incubator Policy,joining the ipmc,"after a vote has finished, the ipmc must send a notice email to the board",information,incubation,Apache governance,Apache,Apache
Incubator Policy,joining the ipmc,and then wait for 72 hours before inviting the proposed member.,choice,incubation,Apache governance,Apache,Apache
Incubator Policy,joining the ipmc,"any asf member can ask to be an ipmc member, without a vote, but the ipmc must still give notice to the board.",boundary,incubation,Apache governance,Apache,Apache
Incubator Policy,termination,the incubator pmc should notify a podling of any policy violations.,choice,incubation,risk mitigation,Apache,podling
Incubator Policy,termination,it may consider termination of a podling that does not correct such violations.,payoff,incubation,Apache protection,Apache,Apache
Community Guide,what is an open and diverse community?,a major criterion for podling graduation to top level project (tlp) status is to have developed an open and diverse meritocratic community.,scope,project,graduation criteria,podling,podling
Community Guide,people,"as a project grows, it needs to renew itself by accepting new committers.",choice,project,risk mitigation,podling,podling
Community Guide,people,a project needs to learn how it can recruit new developers and committers into the community.,choice,project,risk mitigation,podling,podling
Community Guide,people,the openness of the community is not only measured by the number of contributors.,scope,project,risk mitigation,podling,podling
Community Guide,people,open and respectful discussions on the mailing lists are vital.,scope,project,risk mitigation,podling,podling
Community Guide,people,community members must learn ways to resolve technical conflicts without destroying personal relationships.,choice,project,risk mitigation,podling,podling
Community Guide,communication,email lists are the lifeblood of apache communities. they are the primary mode of discourse and constitute a public and historical record of the project.,information,project,communication,podling,podling
Community Guide,communication,"other forms of communication (p2p, f2f, personal emails, instant messaging platform posts, and so on) are secondary.",information,project,communication,podling,podling
Community Guide,communication,"if a project uses alternative forms of communication, it is essential to try to minimize the chances of problems arising.",choice,project,communication,podling,podling
Community Guide,communication,all matters of substance need to move back to the email lists.,information,project,communication,podling,podling
Community Guide,communication,"projects need to preserve, and post back to the lists, significatn conversation threads in other channels.",information,project,communication,podling,podling
Community Guide,communication,project should post regular reminders that other secondary forms of communication exist.,information,project,communication,podling,podling
Community Guide,communication,"there is a limited number of topics, such as security issues and discussions about people, which it is best to handl in private.",information,project,communication,podling,podling
